3	43769053	43774299	TE_01_003900461
9	108092444	108109451	TE_01_003900462
19	58474415	58515121	TE_01_003900463
3	155851591	155855637	TE_01_003900464
10	77906917	77912016	TE_01_003900465
5	177362362	177379863	TE_01_003900466
11	33722099	33738690	TE_01_003900467
7	2018064	2023304	TE_01_003900468
21	29302112	29317976	TE_01_003900469
11	73778467	73785727	TE_01_003900470
1	100346995	100366264	TE_01_003900471
6	57171706	57176402	TE_01_003900472
12	56115994	56120411	TE_01_003900473
7	39948233	39952387	TE_01_003900474
5	112963652	112980665	TE_01_003900475
15	92902472	92918381	TE_01_003900476
1	32008986	32022731	TE_01_003900477
19	15276525	15304899	TE_01_003900478
10	95528044	95534130	TE_01_003900479
22	41822218	41846452	TE_01_003900480
2	73062849	73072144	TE_01_003900481
6	143163258	143168951	TE_01_003900482
6	26020301	26024024	TE_01_003900483
17	76263906	76277891	TE_01_003900484
1	1397574	1401573	TE_01_003900485
8	90642411	90647941	TE_01_003900486
3	13403344	13430405	TE_01_003900487
11	75012496	75033103	TE_01_003900488
10	97405989	97429095	TE_01_003900489
19	41859181	41863846	TE_01_003900490
7	2756967	2772115	TE_01_003900491
20	41047333	41087377	TE_01_003900492
9	91191471	91198174	TE_01_003900493
X	123960617	123963706	TE_01_003900494
4	70901619	70904817	TE_01_003900495
5	176534717	176543155	TE_01_003900496
17	50660099	50665605	TE_01_003900497
5	142320450	142327303	TE_01_003900498
6	125780126	125782234	TE_01_003900499
16	88451449	88473669	TE_01_003900500
6	149118087	149141385	TE_01_003900501
6	22023454	22027680	TE_01_003900502
3	196631288	196634506	TE_01_003900503
3	72143010	72178428	TE_01_003900504
10	45971165	45975431	TE_01_003900505
16	20673092	20683097	TE_01_003900506
6	15297226	15301606	TE_01_003900507
19	6515971	6533268	TE_01_003900508
X	154760622	154766116	TE_01_003900509
6	119136453	119148825	TE_01_003900510
6	125299539	125308484	TE_01_003900511
6	13978024	13993311	TE_01_003900512
12	120196794	120202246	TE_01_003900513
19	54200024	54205404	TE_01_003900514
17	15944981	15982741	TE_01_003900515
1	150161177	150166469	TE_01_003900516
16	66898903	66901847	TE_01_003900517
6	44116216	44135587	TE_01_003900518
8	66922821	66927748	TE_01_003900519
7	44983022	44987969	TE_01_003900520
12	55925031	55928627	TE_01_003900521
6	49632737	49648260	TE_01_003900522
10	92821140	92840049	TE_01_003900523
20	31559538	31574817	TE_01_003900524
9	34046693	34050502	TE_01_003900525
1	37474548	37481135	TE_01_003900526
3	14120995	14126697	TE_01_003900527
1	176877537	176881620	TE_01_003900528
20	32663816	32686403	TE_01_003900529
17	42022316	42025392	TE_01_003900530
